url,title,text,topic,tags,date
https://lenta.ru/news/2009/01/16/osbourne/,Жена Оззи Осборна выиграла суд против британского таблоида,"Жена лидера британской группы Black Sabbath Оззи Осборна Шэрон выиграла суд против таблоида The Sun. Об этом сообщает издание New Musical Express. Представители издания согласились с решением суда и признали, что нанесли семье Осборнов моральный вред, напечатав статью о методах, которыми пользовалась Осборн во время работы менеджером Black Sabbath. Речь идет о публикации, появившейся в The Sun в октябре 2007 года. Автор текста утверждал, что Шэрон ""практически уничтожила своего немощного мужа"", а также подвергла его жизнь риску, заставляя работать в напряженном режиме. В статье также рассказывается, что жена Осборна настаивала на том, чтобы музыкант давал живые концерты тогда, когда он был не в лучшей форме. В тексте публикации утверждается, что фронтмен Black Sabbath должен был таким образом заработать деньги, чтобы его супруга могла ""продолжать свои непомерные траты"". Согласно решению суда, The Sun возместит семье Осборнов моральный вред, а также издержки, сумма которых не разглашается. Издание принесло своим извинения за публикацию статьи и признало, что сведения о Шэрон Осборн, появившиеся в газете, являются неверными.",Культура,Все,2009/01/16
https://lenta.ru/news/2009/05/19/abel/,В Осло вручили международную премию Абеля по математике,"Международная Абелевская премия, учрежденная властями Норвегии  для содействия исследованиям в области математики, 19 мая была вручена французскому математику российского происхождения - Михаилу Громову, передает РИА Новости. Члены призового комитета норвежской Академии наук отметили ""огромное влияние"" Михаила Громова на развитие современной математики. ""Михаил Громов стоял во главе некоторых из важнейших достижений, представив глубоко оригинальные общие идеи, которые в результате привели к новым взглядам на геометрию и другие сферы математики"", - отмечается в мотивации комитета. Как отмечает РИА Новости, сумма денежного вознаграждения Абелевской премии составляет около 750 тысяч евро. В рамках торжественных мероприятий, приуроченных к вручению премии, Громов прочтет лекцию в университете Осло. Михаил Громов родился 23 декабря 1943 года в Бокситогорске Ленинградской области. Окончил Ленинградский университет, где защитил кандидатскую и докторскую диссертации. В 1974 уехал из СССР и стал  профессором в университете штата Нью-Йорк. Гражданство Франции Громов получил в 1992 году.",Наука и техника,Все,2009/05/19
https://lenta.ru/news/2006/04/26/morozov/,Сбивший полицейского российский дипломат покинул Нью-Йорк,"28-летний российский атташе при ООН Илья Морозов, обвиняемый властями США в наезде на полицейского в результате ДТП, покинул Нью-Йорк и направляется самолетом на родину, передает в среду телеканал НТВ. Напомним, по данным американских властей, в субботу Морозов, управляя в нетрезвом состоянии своей служебной Toyota Corolla, на Манхэттене попытался проехать перекрытую из-за ремонта улицу по тротуару. Молодой человек проигнорировал указания пытавшегося остановить его полицейского и совершил наезд на сотрудника правоохранительных органов. Патрульного с травмой ноги отправили в больницу, а дипломата - в участок, напоминает газета ""Газета"". Пройти тест на содержание алкоголя в крови Морозов категорически отказался, сославшись на дипломатическую неприкосновенность. Через три часа атташе забрали представители российского посольства. Во вторник госдепартамент США направил в представительство России при ООН ноту, в которой потребовал лишить Морозова дипломатического статуса. Представитель США в ООН Джон Болтон заявил, что если Россия откажется это сделать, то дипломат будет выслан из страны ""за злоупотребление преимущественным правом проживания"". В ответ на требования США официальный пресс-секретарь российской миссии при ООН Мария Захарова заявила, что ""данное заявление принято к рассмотрению"" и в ближайшее время российская сторона выступит с комментариями.",Мир,Все,2006/04/26
https://lenta.ru/news/2011/08/12/rentv/,Рен ТВ сменил слоган и эфирное оформление,"Телеканал Рен ТВ официально объявил о смене эфирного оформления и слогана. Как сообщается в официальном пресс-релизе телеканала, теперь его лозунгом станет фраза ""Ты с друзьями"". Зрители увидят новое межпрограммное оформление и ребрендинг передачи ""Новости 24"" с 15 августа. В пресс-релизе, поступившем в ""Ленту.ру"", отмечается, что Рен ТВ специально выбрал яркие оттенки оранжевого цвета. Ключевым роликом межпрограммного оформления станет ""Манифест дружбы"". Впервые о ребрендинге Рен ТВ стало известно в конце июня. Тогда сообщалось, что телеканалу понадобилась смена оформления из-за того, что он будет ориентироваться на целевую аудиторию в 35-45 лет. Уже тогда говорилось, что Рен ТВ намерено выдвинуть дружбу в качестве основной ценности телеканала. Рен ТВ начал вещание в 1997 году. С того времени он много раз проводил ребрендинг. Так, в 1990-х годах он назывался Ren TV, а в 2010 году сменил свое имя на РЕН. Сейчас телеканал вернулся к имени Рен ТВ.",Интернет и СМИ,Все,2011/08/12
https://lenta.ru/news/2013/09/14/money/,Госдуме предложили не пускать в Россию мигрантов без денег,"Депутаты законодательного собрания Санкт-Петербурга внесли на рассмотрение Госдумы законопроект, который обязывает всех иностранных граждан, въезжающих в Россию без визы, иметь при себе запас денежных средств. Об этом 13 сентября сообщает РИА Новости со ссылкой на источник в Госдуме. Согласно предложенному законопроекту, приезжие должны будут иметь на банковском счете сумму, равную как минимум шести прожиточным минимумам. Наличие денег мигранты должны будут подтвердить документами. Как пояснили авторы инициативы, законопроект позволит создать финансовые гарантии пребывания иностранных граждан в России. Депутаты обратили внимание на то, что в последние годы в Россию въезжает множество женщин, которые хотят получить медицинскую помощь при родах, но при этом не имеют полиса медстрахования. Таким образом, расходы на оказание медицинской помощи ложатся на бюджет РФ. В начале сентября стало известно о разработанном московскими властями законопроекте, который обяжет всех мигрантов при получении разрешения на работу в России проходить медицинскую комиссию. В число обязательных анализов при этом войдет только тест на ВИЧ. Ранее, в январе 2013 года, Министерство труда и социальной защиты подготовило поправки в Трудовой кодекс, согласно которым въезжающие в Россию трудовые мигранты должны будут получать медицинскую страховку. Без страховки приезжие не смогут заключить трудовой договор. По мнению авторов поправок, эти меры повысят уровень «социальной и медицинской защищенности иностранных работников», а также снимут с государственного бюджета расходы на медицинскую помощь мигрантам. По официальным данным, в России в настоящее время проживают 13 миллионов мигрантов, из которых 3 миллиона находятся в стране нелегально. Однако неофициально число нелегалов оценивают в 10-12 миллионов человек. Более трети всех мигрантов проживают в Москве и Подмосковье.",Россия,Общество,2013/09/14
https://lenta.ru/news/2017/10/23/prospect/,Врачи оценили перспективы лечения Фельгенгауэр,"В НИИ имени Склифосовского прошел консилиум специалистов по патологии головы и шеи, на котором обсуждалось состояние ведущей «Эха Москвы» Татьяны Фельгенгауэр, пострадавшей от удара ножом в горло. Об этом вице-мэр Москвы Леонид Печатников сообщил главному редактору радиостанции Алексею Венедиктову, о чем тот написал в своем Telegram-канале. По словам Печатникова, консилиум рассчитывает на благоприятный исход лечения. «Согласовано лечение, согласована тактика действий. Голосовые связки не задеты», — сообщает Венедиктов. Ранее Фельгенгауэр прооперировали, ввели в состояние искусственной комы и подключили к аппарату искусственной вентиляции легких. Фельгенгауэр получила удар ножом в горло в результате нападения Бориса Грица. 23 октября он пробрался в редакцию, ослепив охранника слезоточивым газом из баллончика, отыскал журналистку и напал. Свои действия он объяснил тем, что ведущая его преследовала посредством телепатии. «Каждую ночь, используя телепатический контакт, она изводила меня сексуально», — пояснил он правоохранительным органам после задержания. Из записей в онлайн-дневнике, который вел Гриц, следует, что последние несколько месяцев мысли о Фельгенгауэр не давали ему покоя. Мужчина писал, что был вынужден обратиться к «известному в Москве экстрасенсу», поскольку Татьяна постоянно «использует его для удовлетворения своей похоти», а также экспериментирует «с прекращением его дыхания». Грицу назначили судебно-психиатрическую экспертизу. В его отношении заведено дело о покушении на убийство. Редакция «Ленты.ру» сердечно поддерживает Таню, желает мужества ее близким и скорейшего выздоровления ей самой. Некоторые из сотрудников и авторов «Ленты.ру» работали на «Эхе» со дня основания радиостанции, а некоторые трудятся на ней по сей день. Там работают наши знакомые, коллеги, друзья и близкие. То, что случилось на «Эхе» — касается всех журналистов, вне зависимости от того, чем они заняты каждый день: пишут ли заметки, выходят ли в радиоэфир, снимают ли видеосюжеты. Это наша общая трагедия и боль. Таня, мы будем очень ждать вашего возвращения в эфир. Пусть все будет хорошо! Полный текст письма редакции можно прочесть ЗДЕСЬ",Интернет и СМИ,ТВ и радио,2017/10/23
https://lenta.ru/news/2019/10/22/gets_kod/,Судья попытался разнять бойцов и был нокаутирован,"Курьезный эпизод произошел во время турнира по летвею (бирманскому боксу) Lethwei 14 in Japan. Видео опубликовано в Twitter-аккаунте @tokeshikouhei. Бой прошел 21 октября в Токио. На седьмой секунде схватки рефери поспешил разнять бойцов. Судья встал между спортсменами и получил удар в лицо, после чего не смог удержаться на ногах. Бой был приостановлен. Отличительной чертой бирманского бокса является отсутствие перчаток (бойцы ограничиваются бинтами), а также разрешенные удары головой.",,Бокс и ММА,2019/10/22
https://lenta.ru/news/2015/09/01/oldestseascorpio/,Ученые воссоздали образ одного из старейших в мире хищников,"Ученые воссоздали образ ракоскорпионов, живших около 460 миллионов лет назад, по их останкам, обнаруженным на территории штата Айова. Результаты исследования они опубликовали в журнале BMC Evolutionary Biology, а краткое изложение приводит The Guardian. Согласно анализам, найденные скорпионы принадлежат к числу первых крупных хищников, появившихся на Земле, — в длину они достигали почти 2 метров. Их твердый наружный скелет сохранился настолько хорошо, что ученые смогли сделать выводы о том, как животные выглядели и как передвигались. У них имелось несколько пар конечностей. Задняя пара использовалась для передвижения вплавь или рытья. Хвост не содержал ядовитую железу, в отличие от хвостов современных скорпионов. Он составлял примерно половину общей длины животного и использовался для плавания и сохранения равновесия. Найденный вид ракоскорпионов получил название Pentecopterus decorahensis из-за внешнего сходства с пентеконтерами — древнегреческими боевыми галерами. Они являются предками современных пауков. Как полагают ученые, ракоскорпионы существовали на Земле в течение всего палеозоя, ранние формы обитали на мелководье в морях, а около 325-299 миллионов лет назад большинство из них перешло к жизни в пресной воде. ",Наука и техника,Наука,2015/09/01
https://lenta.ru/news/2010/07/27/crash/,В аэропорту Эр-Рияда разбился грузовой самолет Lufthansa,"В Эр-Рияде во время захода на посадку разбился грузовой самолет немецкой авиакомпании Lufthansa, сообщает Reuters со ссылкой на местный государственный телеканал. Инцидент произошел во вторник, 27 июля, в международном аэропорту столицы Саудовской Аравии. О причинах крушения самолета пока ничего неизвестно. Какой груз находился на борту самолета Lufthansa, не сообщается. Также ничего неизвестно и о составе экипажа воздушного судна. По сведениям телеканала ""Аль-Арабия"", саудовские авиационные власти подтвердили информацию о крушении самолета, а также сообщили о том, что в результате происшествия никто не пострадал.",Мир,Все,2010/07/27
https://lenta.ru/news/2007/07/03/komsomol/,"Совет директоров ""Комсомольской правды"" возглавил друг Путина","Председателем совета директоров издательского дома ""Комсомольская правда"" назначен Олег Руднов, которого часто называют другом Владимира Путина и который возглавляе петербургскую Балтийскую медиагруппу (БМГ). Об этом пишет во вторник газета ""Коммерсант"". В БМГ входят региональные медиаактивы Руднова - газеты ""Смена"", ""Невское время"", ""Вечернее время"", ""Вечерний Петербург"", радиостанция ""Балтика"" и телеканал СТО. ИД ""Комсомольская правда"" выпускает одноименное издание, а также газету ""Советский спорт"" и ""Экспресс-газету"". По данным ""Коммерсанта"", назначение Олега Руднова председателем совета директоров ""Комсомольской правды"" может означать, что он является конечным приобретателем компании ""ЛДВ-пресс"", владеющей 61 процентом акций ИД и купленной в сентябре 2006 года группой компаний ЕСН у холдинга ""ПрофМедиа"". Источники издания утверждают, что предпринимателю уже принадлежит контрольный пакет акций ""Комсомольской правды"" и что Руднов действует в интересах акционеров банка ""Россия"", заинтересованных в медиаактивах. Крупнейший совладелец этого банка - друг президента Владимира Путина и деловой партнер Руднова Юрий Ковальчук, контролирующий медиахолдинг РЕН ТВ и 35 процентов ТРК ""Петербург"".",Интернет и СМИ,Все,2007/07/03
